Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
24038,"Laval--Les Îles","Laval--Les Îles"," 1","Laval",N,N,"",2,447,"Dansereau-Redhead","","Catherine","Bloc Québécois","Bloc Québécois",N,N,60
24038,"Laval--Les Îles","Laval--Les Îles"," 1","Laval",N,N,"",2,447,"El-Khoury","","Fayçal","Liberal","Libéral",Y,Y,73
24038,"Laval--Les Îles","Laval--Les Îles"," 1","Laval",N,N,"",2,447,"Loiselle-Schiettekatte","","Étienne","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
24038,"Laval--Les Îles","Laval--Les Îles"," 1","Laval",N,N,"",2,447,"Merakos","","Konstantinos","Conservative","Conservateur",N,N,48
24038,"Laval--Les Îles","Laval--Les Îles"," 2","Laval",N,N,"",2,322,"Dansereau-Redhead","","Catherine","Bloc Québécois","Bloc Québécois",N,N,47
24038,"Laval--Les Îles","Laval--Les Îles"," 2","Laval",N,N,"",2,322,"El-Khoury","","Fayçal","Liberal","Libéral",Y,Y,54
24038,"Laval--Les Îles","Laval--Les Îles"," 2","Laval",N,N,"",2,322,"Loiselle-Schiettekatte","","Étienne","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
24038,"Laval--Les Îles","Laval--Les Îles"," 2","Laval",N,N,"",2,322,"Merakos","","Konstantinos","Conservative","Conservateur",N,N,33
24038,"Laval--Les Îles","Laval--Les Îles"," 3","Laval",N,N,"",0,412,"Dansereau-Redhead","","Catherine","Bloc Québécois","Bloc Québécois",N,N,21
24038,"Laval--Les Îles","Laval--Les Îles"," 3","Laval",N,N,"",0,412,"El-Khoury","","Fayçal","Liberal","Libéral",Y,Y,60
