Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",N,N,"",3,336,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,47
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",N,N,"",3,336,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,57
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",N,N,"",3,336,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,3
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",N,N,"",3,336,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,52
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",N,N,"",3,336,"Saliba","","Peter","Conservative","Conservateur",N,N,31
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",N,N,"",3,336,"Simon","","Daniel","Green Party","Parti Vert",N,N,4
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",N,N,"",4,398,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,72
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",N,N,"",4,398,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,28
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",N,N,"",4,398,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,1
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",N,N,"",4,398,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,73
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",N,N,"",4,398,"Saliba","","Peter","Conservative","Conservateur",N,N,24
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",N,N,"",4,398,"Simon","","Daniel","Green Party","Parti Vert",N,N,2
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",N,N,"",3,301,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,38
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",N,N,"",3,301,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,40
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",N,N,"",3,301,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,2
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",N,N,"",3,301,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,49
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",N,N,"",3,301,"Saliba","","Peter","Conservative","Conservateur",N,N,43
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",N,N,"",3,301,"Simon","","Daniel","Green Party","Parti Vert",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",N,N,"",2,334,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,42
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",N,N,"",2,334,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,26
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",N,N,"",2,334,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,4
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",N,N,"",2,334,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,62
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",N,N,"",2,334,"Saliba","","Peter","Conservative","Conservateur",N,N,39
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",N,N,"",2,334,"Simon","","Daniel","Green Party","Parti Vert",N,N,2
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",N,N,"",7,432,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,44
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",N,N,"",7,432,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,33
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",N,N,"",7,432,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",N,N,"",7,432,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,38
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",N,N,"",7,432,"Saliba","","Peter","Conservative","Conservateur",N,N,26
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",N,N,"",7,432,"Simon","","Daniel","Green Party","Parti Vert",N,N,2
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",N,N,"",2,374,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,29
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",N,N,"",2,374,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,37
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",N,N,"",2,374,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,2
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",N,N,"",2,374,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,47
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",N,N,"",2,374,"Saliba","","Peter","Conservative","Conservateur",N,N,17
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",N,N,"",2,374,"Simon","","Daniel","Green Party","Parti Vert",N,N,1
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",N,N,"",2,398,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,32
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",N,N,"",2,398,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,47
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",N,N,"",2,398,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",N,N,"",2,398,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,35
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",N,N,"",2,398,"Saliba","","Peter","Conservative","Conservateur",N,N,20
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",N,N,"",2,398,"Simon","","Daniel","Green Party","Parti Vert",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",N,N,"",1,316,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,25
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",N,N,"",1,316,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",N,N,"",1,316,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,2
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",N,N,"",1,316,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,31
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",N,N,"",1,316,"Saliba","","Peter","Conservative","Conservateur",N,N,21
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",N,N,"",1,316,"Simon","","Daniel","Green Party","Parti Vert",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",N,N,"",1,253,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,15
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",N,N,"",1,253,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,22
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",N,N,"",1,253,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,2
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",N,N,"",1,253,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,19
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",N,N,"",1,253,"Saliba","","Peter","Conservative","Conservateur",N,N,15
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",N,N,"",1,253,"Simon","","Daniel","Green Party","Parti Vert",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",N,N,"",1,270,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,24
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",N,N,"",1,270,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,41
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",N,N,"",1,270,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",N,N,"",1,270,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,20
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",N,N,"",1,270,"Saliba","","Peter","Conservative","Conservateur",N,N,14
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",N,N,"",1,270,"Simon","","Daniel","Green Party","Parti Vert",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",N,N,"",1,270,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,19
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",N,N,"",1,270,"Brosseau","","Ruth Ellen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,16
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",N,N,"",1,270,"Gomez-Gnali","","Elia","People's Party - PPC","Parti populaire - PPC",N,N,2
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",N,N,"",1,270,"Perron","","Yves","Bloc Québécois","Bloc Québécois",Y,Y,18
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",N,N,"",1,270,"Saliba","","Peter","Conservative","Conservateur",N,N,15
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",N,N,"",1,270,"Simon","","Daniel","Green Party","Parti Vert",N,N,0
24012,"Berthier--Maskinongé","Berthier--Maskinongé"," 12","Saint-Alexis-des-Monts",N,N,"",2,417,"Bilodeau","","Stéphane","Liberal","Libéral",N,N,18
