Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
48006,"Calgary Crowfoot","Calgary Crowfoot"," 1","Calgary",N,N,"",0,595,"Kelly","","Pat","Conservative","Conservateur",Y,Y,99
48006,"Calgary Crowfoot","Calgary Crowfoot"," 1","Calgary",N,N,"",0,595,"Munir","","Shahnaz","Liberal","Libéral",N,N,56
48006,"Calgary Crowfoot","Calgary Crowfoot"," 1","Calgary",N,N,"",0,595,"Nerland","","Nanette","Green Party","Parti Vert",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 1","Calgary",N,N,"",0,595,"Samuelson","","Jim","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
48006,"Calgary Crowfoot","Calgary Crowfoot"," 1","Calgary",N,N,"",0,595,"Snyder","","Yvonne","People's Party - PPC","Parti populaire - PPC",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 1","Calgary",N,N,"",0,595,"Van Egmond","","Lachlan","Independent","Indépendant(e)",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 2","Calgary",N,N,"",1,905,"Kelly","","Pat","Conservative","Conservateur",Y,Y,143
48006,"Calgary Crowfoot","Calgary Crowfoot"," 2","Calgary",N,N,"",1,905,"Munir","","Shahnaz","Liberal","Libéral",N,N,106
48006,"Calgary Crowfoot","Calgary Crowfoot"," 2","Calgary",N,N,"",1,905,"Nerland","","Nanette","Green Party","Parti Vert",N,N,2
48006,"Calgary Crowfoot","Calgary Crowfoot"," 2","Calgary",N,N,"",1,905,"Samuelson","","Jim","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
48006,"Calgary Crowfoot","Calgary Crowfoot"," 2","Calgary",N,N,"",1,905,"Snyder","","Yvonne","People's Party - PPC","Parti populaire - PPC",N,N,2
48006,"Calgary Crowfoot","Calgary Crowfoot"," 2","Calgary",N,N,"",1,905,"Van Egmond","","Lachlan","Independent","Indépendant(e)",N,N,3
48006,"Calgary Crowfoot","Calgary Crowfoot"," 3","Calgary",N,N,"",3,636,"Kelly","","Pat","Conservative","Conservateur",Y,Y,104
48006,"Calgary Crowfoot","Calgary Crowfoot"," 3","Calgary",N,N,"",3,636,"Munir","","Shahnaz","Liberal","Libéral",N,N,80
48006,"Calgary Crowfoot","Calgary Crowfoot"," 3","Calgary",N,N,"",3,636,"Nerland","","Nanette","Green Party","Parti Vert",N,N,4
48006,"Calgary Crowfoot","Calgary Crowfoot"," 3","Calgary",N,N,"",3,636,"Samuelson","","Jim","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
48006,"Calgary Crowfoot","Calgary Crowfoot"," 3","Calgary",N,N,"",3,636,"Snyder","","Yvonne","People's Party - PPC","Parti populaire - PPC",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 3","Calgary",N,N,"",3,636,"Van Egmond","","Lachlan","Independent","Indépendant(e)",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 4","Calgary",N,N,"",0,970,"Kelly","","Pat","Conservative","Conservateur",Y,Y,188
48006,"Calgary Crowfoot","Calgary Crowfoot"," 4","Calgary",N,N,"",0,970,"Munir","","Shahnaz","Liberal","Libéral",N,N,101
48006,"Calgary Crowfoot","Calgary Crowfoot"," 4","Calgary",N,N,"",0,970,"Nerland","","Nanette","Green Party","Parti Vert",N,N,1
48006,"Calgary Crowfoot","Calgary Crowfoot"," 4","Calgary",N,N,"",0,970,"Samuelson","","Jim","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
48006,"Calgary Crowfoot","Calgary Crowfoot"," 4","Calgary",N,N,"",0,970,"Snyder","","Yvonne","People's Party - PPC","Parti populaire - PPC",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 4","Calgary",N,N,"",0,970,"Van Egmond","","Lachlan","Independent","Indépendant(e)",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 5","Calgary",N,N,"",1,607,"Kelly","","Pat","Conservative","Conservateur",Y,Y,115
48006,"Calgary Crowfoot","Calgary Crowfoot"," 5","Calgary",N,N,"",1,607,"Munir","","Shahnaz","Liberal","Libéral",N,N,65
48006,"Calgary Crowfoot","Calgary Crowfoot"," 5","Calgary",N,N,"",1,607,"Nerland","","Nanette","Green Party","Parti Vert",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 5","Calgary",N,N,"",1,607,"Samuelson","","Jim","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
48006,"Calgary Crowfoot","Calgary Crowfoot"," 5","Calgary",N,N,"",1,607,"Snyder","","Yvonne","People's Party - PPC","Parti populaire - PPC",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 5","Calgary",N,N,"",1,607,"Van Egmond","","Lachlan","Independent","Indépendant(e)",N,N,2
48006,"Calgary Crowfoot","Calgary Crowfoot"," 6","Calgary",N,N,"",1,568,"Kelly","","Pat","Conservative","Conservateur",Y,Y,97
48006,"Calgary Crowfoot","Calgary Crowfoot"," 6","Calgary",N,N,"",1,568,"Munir","","Shahnaz","Liberal","Libéral",N,N,60
48006,"Calgary Crowfoot","Calgary Crowfoot"," 6","Calgary",N,N,"",1,568,"Nerland","","Nanette","Green Party","Parti Vert",N,N,0
48006,"Calgary Crowfoot","Calgary Crowfoot"," 6","Calgary",N,N,"",1,568,"Samuelson","","Jim","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,6
