Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
35033,"Guelph","Guelph"," 1","Guelph",N,N,"",9,566,"Baetz","","Elaine","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35033,"Guelph","Guelph"," 1","Guelph",N,N,"",9,566,"Folk-Dawson","","Janice","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
35033,"Guelph","Guelph"," 1","Guelph",N,N,"",9,566,"Khaira","","Gurvir","Conservative","Conservateur",N,N,87
35033,"Guelph","Guelph"," 1","Guelph",N,N,"",9,566,"O'Rourke","","Dominique","Liberal","Libéral",N,Y,117
35033,"Guelph","Guelph"," 1","Guelph",N,N,"",9,566,"Swackhammer","","Jeffrey","People's Party - PPC","Parti populaire - PPC",N,N,2
35033,"Guelph","Guelph"," 1","Guelph",N,N,"",9,566,"Wassilyn","","Michael","Independent","Indépendant(e)",N,N,0
35033,"Guelph","Guelph"," 1","Guelph",N,N,"",9,566,"Yavorskyi","","Yurii","Canadian Future Party","Parti Avenir Canadien",N,N,0
35033,"Guelph","Guelph"," 1","Guelph",N,N,"",9,566,"Zajdlik","","Anne-Marie","Green Party","Parti Vert",N,N,17
35033,"Guelph","Guelph"," 2","Guelph",N,N,"",2,538,"Baetz","","Elaine","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35033,"Guelph","Guelph"," 2","Guelph",N,N,"",2,538,"Folk-Dawson","","Janice","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
