Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
35065,"Mississauga--Malton","Mississauga--Malton"," 1","Mississauga",N,N,"",0,394,"Ailsinghani","","Inderjeetsingh","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
35065,"Mississauga--Malton","Mississauga--Malton"," 1","Mississauga",N,N,"",0,394,"Gaheer","","Iqwinder Singh","Liberal","Libéral",Y,Y,73
35065,"Mississauga--Malton","Mississauga--Malton"," 1","Mississauga",N,N,"",0,394,"Quinlan","","Nathan","People's Party - PPC","Parti populaire - PPC",N,N,5
35065,"Mississauga--Malton","Mississauga--Malton"," 1","Mississauga",N,N,"",0,394,"Sandhu","","Jaspreet","Conservative","Conservateur",N,N,74
35065,"Mississauga--Malton","Mississauga--Malton"," 2","Mississauga",N,N,"",0,503,"Ailsinghani","","Inderjeetsingh","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
35065,"Mississauga--Malton","Mississauga--Malton"," 2","Mississauga",N,N,"",0,503,"Gaheer","","Iqwinder Singh","Liberal","Libéral",Y,Y,72
35065,"Mississauga--Malton","Mississauga--Malton"," 2","Mississauga",N,N,"",0,503,"Quinlan","","Nathan","People's Party - PPC","Parti populaire - PPC",N,N,8
35065,"Mississauga--Malton","Mississauga--Malton"," 2","Mississauga",N,N,"",0,503,"Sandhu","","Jaspreet","Conservative","Conservateur",N,N,68
35065,"Mississauga--Malton","Mississauga--Malton"," 3","Mississauga",N,N,"",0,340,"Ailsinghani","","Inderjeetsingh","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
35065,"Mississauga--Malton","Mississauga--Malton"," 3","Mississauga",N,N,"",0,340,"Gaheer","","Iqwinder Singh","Liberal","Libéral",Y,Y,47
35065,"Mississauga--Malton","Mississauga--Malton"," 3","Mississauga",N,N,"",0,340,"Quinlan","","Nathan","People's Party - PPC","Parti populaire - PPC",N,N,6
35065,"Mississauga--Malton","Mississauga--Malton"," 3","Mississauga",N,N,"",0,340,"Sandhu","","Jaspreet","Conservative","Conservateur",N,N,37
35065,"Mississauga--Malton","Mississauga--Malton"," 4","Mississauga",N,N,"",1,321,"Ailsinghani","","Inderjeetsingh","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
35065,"Mississauga--Malton","Mississauga--Malton"," 4","Mississauga",N,N,"",1,321,"Gaheer","","Iqwinder Singh","Liberal","Libéral",Y,Y,50
35065,"Mississauga--Malton","Mississauga--Malton"," 4","Mississauga",N,N,"",1,321,"Quinlan","","Nathan","People's Party - PPC","Parti populaire - PPC",N,N,4
35065,"Mississauga--Malton","Mississauga--Malton"," 4","Mississauga",N,N,"",1,321,"Sandhu","","Jaspreet","Conservative","Conservateur",N,N,56
35065,"Mississauga--Malton","Mississauga--Malton"," 5","Mississauga",N,N,"",1,368,"Ailsinghani","","Inderjeetsingh","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
35065,"Mississauga--Malton","Mississauga--Malton"," 5","Mississauga",N,N,"",1,368,"Gaheer","","Iqwinder Singh","Liberal","Libéral",Y,Y,77
35065,"Mississauga--Malton","Mississauga--Malton"," 5","Mississauga",N,N,"",1,368,"Quinlan","","Nathan","People's Party - PPC","Parti populaire - PPC",N,N,4
35065,"Mississauga--Malton","Mississauga--Malton"," 5","Mississauga",N,N,"",1,368,"Sandhu","","Jaspreet","Conservative","Conservateur",N,N,41
35065,"Mississauga--Malton","Mississauga--Malton"," 6","Mississauga",N,N,"",0,371,"Ailsinghani","","Inderjeetsingh","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
35065,"Mississauga--Malton","Mississauga--Malton"," 6","Mississauga",N,N,"",0,371,"Gaheer","","Iqwinder Singh","Liberal","Libéral",Y,Y,82
35065,"Mississauga--Malton","Mississauga--Malton"," 6","Mississauga",N,N,"",0,371,"Quinlan","","Nathan","People's Party - PPC","Parti populaire - PPC",N,N,1
35065,"Mississauga--Malton","Mississauga--Malton"," 6","Mississauga",N,N,"",0,371,"Sandhu","","Jaspreet","Conservative","Conservateur",N,N,23
35065,"Mississauga--Malton","Mississauga--Malton"," 7","Mississauga",N,N,"",3,461,"Ailsinghani","","Inderjeetsingh","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
35065,"Mississauga--Malton","Mississauga--Malton"," 7","Mississauga",N,N,"",3,461,"Gaheer","","Iqwinder Singh","Liberal","Libéral",Y,Y,79
35065,"Mississauga--Malton","Mississauga--Malton"," 7","Mississauga",N,N,"",3,461,"Quinlan","","Nathan","People's Party - PPC","Parti populaire - PPC",N,N,3
35065,"Mississauga--Malton","Mississauga--Malton"," 7","Mississauga",N,N,"",3,461,"Sandhu","","Jaspreet","Conservative","Conservateur",N,N,67
35065,"Mississauga--Malton","Mississauga--Malton"," 8","Mississauga",N,N,"",0,509,"Ailsinghani","","Inderjeetsingh","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
