Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
48011,"Calgary Nose Hill","Calgary Nose Hill"," 5","Calgary",N,N,"",0,871,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 6","Calgary",N,N,"",1,842,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 6","Calgary",N,N,"",1,842,"Becker","","Tom","Liberal","Libéral",N,N,102
48011,"Calgary Nose Hill","Calgary Nose Hill"," 6","Calgary",N,N,"",1,842,"Fach","","Addison","Green Party","Parti Vert",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 6","Calgary",N,N,"",1,842,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
48011,"Calgary Nose Hill","Calgary Nose Hill"," 6","Calgary",N,N,"",1,842,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,177
48011,"Calgary Nose Hill","Calgary Nose Hill"," 6","Calgary",N,N,"",1,842,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 7","Calgary",N,N,"",0,824,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 7","Calgary",N,N,"",0,824,"Becker","","Tom","Liberal","Libéral",N,N,57
48011,"Calgary Nose Hill","Calgary Nose Hill"," 7","Calgary",N,N,"",0,824,"Fach","","Addison","Green Party","Parti Vert",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 7","Calgary",N,N,"",0,824,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
48011,"Calgary Nose Hill","Calgary Nose Hill"," 7","Calgary",N,N,"",0,824,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,153
48011,"Calgary Nose Hill","Calgary Nose Hill"," 7","Calgary",N,N,"",0,824,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 8","Calgary",N,N,"",1,549,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 8","Calgary",N,N,"",1,549,"Becker","","Tom","Liberal","Libéral",N,N,43
48011,"Calgary Nose Hill","Calgary Nose Hill"," 8","Calgary",N,N,"",1,549,"Fach","","Addison","Green Party","Parti Vert",N,N,4
48011,"Calgary Nose Hill","Calgary Nose Hill"," 8","Calgary",N,N,"",1,549,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
48011,"Calgary Nose Hill","Calgary Nose Hill"," 8","Calgary",N,N,"",1,549,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,87
48011,"Calgary Nose Hill","Calgary Nose Hill"," 8","Calgary",N,N,"",1,549,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,2
48011,"Calgary Nose Hill","Calgary Nose Hill"," 9","Calgary",N,N,"",0,694,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 9","Calgary",N,N,"",0,694,"Becker","","Tom","Liberal","Libéral",N,N,61
48011,"Calgary Nose Hill","Calgary Nose Hill"," 9","Calgary",N,N,"",0,694,"Fach","","Addison","Green Party","Parti Vert",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 9","Calgary",N,N,"",0,694,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
